Optymalny wynik,Otrzymany wynik,Czas wykonania,Blad wzgledny (procentowo)
\Dane\TSP\rat99.txt
 1211,8476,0.029724,599.917424%
1211,8697,0.029206,618.166804%
1211,8700,0.028987,618.414533%
1211,8122,0.029065,570.685384%
\Dane\TSP\pr152.txt
 73682,1059461,0.049007,1337.883065%
73682,1044185,0.042519,1317.150729%
73682,1028638,0.042863,1296.050596%
73682,1092221,0.042760,1382.344399%
\Dane\TSP\ts225.txt
 126643,1603245,0.060709,1165.956271%
126643,1658007,0.061277,1209.197508%
126643,1610543,0.060129,1171.718926%
126643,1610692,0.060724,1171.836580%
\Dane\TSP\pr264.txt
 49135,1099530,0.072355,2137.773481%
49135,1109342,0.077917,2157.742953%
49135,1127695,0.077756,2195.095146%
49135,1100761,0.079694,2140.278824%
\Dane\ATSP\ftv33.txt
 1286,4237,0.013211,229.471229%
1286,4317,0.013219,235.692068%
1286,3854,0.013174,199.688958%
1286,4730,0.013156,267.807154%
\Dane\ATSP\ftv64.txt
 1839,8497,0.021397,362.044589%
1839,8499,0.020506,362.153344%
1839,8077,0.020631,339.206090%
1839,8263,0.020712,349.320283%
\Dane\ATSP\kro100p.txt
 36230,194262,0.029770,436.191002%
36230,188740,0.029467,420.949489%
36230,198959,0.029613,449.155396%
36230,183643,0.029282,406.881038%
\Dane\ATSP\ftv170.txt
 2755,27493,0.047728,897.931034%
2755,26232,0.046876,852.159710%
2755,28140,0.047139,921.415608%
2755,24766,0.047239,798.947368%
